sample_id,log_e_minus_c_csds,tau_r_div_tau_p,u_p_div_u_r,u_r_mm,u_r_x_u_p,tau_p_div_u_p,tau_r_MPa,tau_r_div_u_p,tau_p_div_u_r,tau_p_x_tau_r,tau_r_div_u_r
146,3.3562218737728173,0.8284313725490196,0.08333333333333334,1.5599999999999998,0.20279999999999998,5.230769230769231,0.5633333333333334,4.333333333333333,0.43589743589743596,0.3830666666666667,0.36111111111111116
147,-1.5809709530476217,0.8405466970387244,0.5790715971675846,3.1775,5.8466000000000005,2.385869565217391,3.69,2.0054347826086953,1.3815892997639652,16.199099999999998,1.161290322580645
148,-0.37407656940919776,0.960296965784377,0.5094231867504284,4.3774999999999995,9.761824999999998,6.946188340807175,14.875,6.670403587443946,3.538549400342662,230.41375,3.3980582524271847
149,2.444616091589232,0.5659722222222222,0.11538461538461539,1.5599999999999998,0.28079999999999994,5.333333333333333,0.5433333333333333,3.0185185185185186,0.6153846153846154,0.5216,0.34829059829059833
150,1.696872527337408,0.8034026465028355,0.18390804597701152,2.175,0.87,13.225,4.25,10.625,2.4321839080459773,22.4825,1.9540229885057472
151,1.0301733580963455,0.9441640378548896,0.27404844290657443,3.6125,3.5763749999999996,16.01010101010101,14.965,15.116161616161616,4.387543252595155,237.19525,4.142560553633218
152,-1.2577790773373474,0.84375,0.6105263157894737,1.9,2.2039999999999997,0.5517241379310346,0.54,0.4655172413793104,0.33684210526315794,0.3456,0.2842105263157895
153,-0.12251664422192145,0.9365079365079365,0.5064935064935064,2.566666666666667,3.336666666666667,3.230769230769231,3.9333333333333336,3.0256410256410255,1.6363636363636362,16.520000000000003,1.5324675324675325
154,-0.26482081145980885,0.9446897994991972,0.16214181288856191,31.453947067343865,160.4151300434537,2.8000000000000003,13.490170336848536,2.6451314385977525,0.45399707608797335,192.6396324101971,0.42888640678276935
155,0.5980117184902124,0.82183908045977,0.35897435897435903,1.5599999999999998,0.8736,1.0357142857142856,0.4766666666666666,0.851190476190476,0.3717948717948718,0.27646666666666664,0.3055555555555556
156,1.1609067114677107,0.9224137931034484,0.30769230769230765,2.1775,1.4589250000000002,6.059701492537313,3.745,5.58955223880597,1.864523536165327,15.204699999999999,1.7198622273249138
157,0.5596872122172655,0.9465529247910863,0.3384615384615385,3.9,5.148,10.878787878787877,13.5925,10.297348484848484,3.682051282051282,195.18829999999997,3.4852564102564103
158,2.583099277422246,0.5720000000000001,0.10472279260780289,1.6233333333333333,0.2759666666666667,5.88235294117647,0.5720000000000001,3.364705882352941,0.6160164271047228,0.5720000000000001,0.3523613963039015
159,2.120534682735426,0.8141798418972332,0.1466208476517755,2.1825,0.6984,15.812499999999998,4.11975,12.874218749999999,2.3184421534936996,20.845934999999997,1.8876288659793812
160,0.7330477389051834,0.9092657342657342,0.27471116816431324,3.895,4.16765,13.36448598130841,13.0025,12.151869158878503,3.671373555840822,185.93575,3.338254172015404
161,3.5305868607858355,0.6874509803921569,0.06382978723404255,1.5666666666666669,0.1566666666666667,8.5,0.5843333333333334,5.843333333333334,0.5425531914893617,0.49668333333333337,0.3729787234042553
162,2.417383486085322,0.7239737274220033,0.1103448275862069,2.175,0.5219999999999999,25.375,4.409,18.370833333333334,2.8000000000000003,26.85081,2.027126436781609
163,1.9888464365430663,0.9018650088809946,0.12944983818770228,3.8625,1.93125,33.78,15.2325,30.465,4.3728155339805825,257.276925,3.9436893203883496
164,4.028116210017761,0.6874509803921569,0.04496788008565311,1.5566666666666666,0.10896666666666667,12.14285714285714,0.5843333333333334,8.347619047619048,0.5460385438972163,0.49668333333333337,0.3753747323340471
165,2.5393938766489867,0.7577350427350429,0.1061130334486736,2.1675,0.498525,25.43478260869565,4.43275,19.272826086956524,2.698961937716263,25.9315875,2.0450980392156866
166,1.50620662293081,0.9362774155305275,0.1941747572815534,3.8625,2.8968749999999996,22.493333333333336,15.795,21.06,4.3676375404530745,266.46165,4.089320388349515
167,2.7285475480104293,0.6974999999999999,0.10897435897435899,1.5599999999999998,0.2652,4.705882352941177,0.5579999999999999,3.28235294117647,0.5128205128205129,0.44639999999999996,0.3576923076923077
